No,SRn,Vp,Is50,UCS
468,60,7850,6.12,209.4
469,49,5988,4.92,168.7
470,56,5040,4.65,105.6
471,48,4615,3.34,123.5
472,61,7943,6.54,211.9
473,56,5980,5.86,170.7
474,58,6080,5.21,154.4
475,59,6005,4.78,163.3
476,53,6125,2.25,135.1
477,51,6555,3.13,149.5
478,49,6430,2.99,148.6
479,45,6120,4.15,155.6
480,58,6895,5.29,191.7
481,56,6615,5.38,178.9
482,51,5715,4.88,100.9
483,58,6709,4.33,152.1
484,51,6301,5.02,141.7
485,57,6150,3.22,143.9
486,55,4978,3.72,159.9
487,40,2823,1.02,48
488,37,3065,0.91,28
489,43,4635,1.39,58
490,40,4233,1.21,40
491,50,4490,1.67,50.2
492,42,4230,1.31,53.6
493,39,4003,1.02,33
494,38,3268,0.89,35
495,46,4480,1.33,71.5
496,48,4108,1.34,56.5
497,46,5250,2.78,96
498,51,4530,2.43,87.4
499,48,4876,3.23,95.2
500,37,5463,4.23,116.8
501,44,5520,4.02,107
502,49,5270,3.89,105.7
503,53,5109,3.67,106.8
504,47,4659,2.89,82.2
505,40,5506,2.31,82.6
506,39,6450,2.87,75
507,37,3050,3.89,62.9
508,45,2920,1.82,55.4
509,48,5950,3.12,132.9
510,55,3780,2.4,87.9
511,34,3102,4.56,77.9
512,33,3020,3.01,64.2
513,35,6910,2.1,69.9
514,50,5217,3.22,97.9
515,26,3525,1.73,89.8
516,35,2910,3.79,59.6
517,42,4670,3.34,102.9
518,44,5345,1.93,111.9
519,27,6190,3.14,81.3
520,36,4568,2.45,96.7
521,22,5785,1.98,71.9
522,50,7002,4.97,89.7
523,32,6790,2.59,89.5
524,38,5310,3.96,100.8
525,42,6635,2.02,105.7
526,23,3303,3.12,58.6
527,20,3608,2.51,48.8
528,28,3080,3.23,56.8
529,40,3620,3.21,65.7
530,41,3520,1.41,52.5
531,42,3520,2.89,51.5
532,31,3520,2.44,63.7
533,37,3010,1.56,39
534,34,3210,3.49,60
535,24,3670,1.23,44.7
536,18,3545,1.11,52.7
537,27,5643,2.75,55.6
538,45,4955,3.21,77.7
539,43,3850,2.12,84.3
540,44,3988,1.92,59.9
541,28,5040,4.65,61.2
542,27,3615,3.34,46
543,26,3943,1.54,40
544,22,4980,1.86,44
545,24,4080,1.21,57
546,41,4005,1.78,54.7
547,26,4125,2.25,42.8
548,25,3555,1.13,51.9
549,40,3430,2.99,53.2
550,37,6120,2.15,61.3
551,33,4895,3.29,72.5
552,32,4615,2.38,74.6
553,34,3715,2.88,71.5
554,40,4709,2.33,73.6
555,27,3301,1.02,39.4
556,19,2823,3.22,43.5
557,24,3378,3.72,48.2
558,40,4823,3.02,117.9
559,38,5065,2.91,122.3
560,48,6635,6.39,166.3
561,46,6233,3.21,138.6
562,45,5490,4.67,124.7
563,44,5230,3.31,110.9
564,57,7003,5.02,152.4
565,56,5268,2.89,106.7
566,52,6480,5.33,180.1
567,51,6108,4.34,149
568,47,4250,2.78,95.6
569,49,4530,2.43,80.5
570,55,5876,3.23,121.3
571,56,5463,3.23,107.6
572,45,5520,3.02,101.9
573,48,5270,3.89,81.5
574,57,5109,3.67,117.9
575,57,6659,4.89,163.3
576,54,6148,5.89,141.7
577,45,5920,1.82,87.9
578,49,5950,3.12,120
579,52,4780,4.4,137.2
580,39,6102,2.56,93
581,53,5020,3.01,123.5
582,58,6910,2.1,109.9
583,43,5217,2.22,80.3
584,46,5025,1.73,99.9
585,31,4910,3.79,88.3
586,30,4670,3.34,100.6
587,54,5345,1.93,104.3
588,48,6190,6.14,184.9
589,55,4568,2.45,102.5
590,37,5785,1.98,114.6
591,42,7002,4.97,105.4
592,55,7943,6.59,209.4
593,54,7310,5.45,168.7
594,56,6635,2.02,105.6
595,48,6503,3.12,123.5
596,61,7608,6.51,211.9
597,56,6080,4.9,170.7
598,58,6620,4.21,154.4
599,59,6320,6.41,163.3
600,53,5832,4.89,135.1
601,51,4922,4.44,149.5
602,49,6848,3.56,148.6
603,50,5380,3.49,155.6
604,58,7433,7.1,191.7
605,56,5545,5.11,178.9
606,54,5643,2.75,100.9
607,58,4955,3.21,152.1
608,51,7850,5.12,141.7
609,57,5988,4.92,143.9
610,55,5040,5.65,159.9
611,40,4615,1.34,48
612,37,3943,2.54,63.8
613,30,5980,1.86,58
614,40,3180,0.89,40
615,30,6005,1.78,50.2
616,31,4125,2.25,53.6
617,39,6555,1.6,74.9
618,38,6430,2.99,105.6
619,33,6120,4.15,71.5
620,34,4895,1.29,56.5
621,44,6615,3.38,96
622,51,5715,4.88,87.4
623,33,6080,3.21,95.2
624,37,6005,4.78,116.8
625,33,5125,2.25,107
626,49,6555,2.13,105.7
627,53,6430,2.99,106.8
628,23,6120,4.15,82.2
629,26,4698,3.47,77.61
630,35,5802,3.61,96.37
631,37,5814,3.68,104.14
632,38,5870,3.78,114.8
633,40,5881,3.85,125.46
634,41,5902,4.05,136.12
635,42,5912,4.19,146.78
636,45,5920,4.8,157.44
637,28,4956,2.63,85.12
638,35,6152,3.08,93.29
639,35,6175,3.46,100.1
640,38,6179,3.56,110.4
641,39,6206,3.86,117.77
642,41,6208,4.03,125.98
643,44,6213,4.08,134.19
644,47,6231,4.11,142.39
645,31,3480,3.05,85.64
646,31,4554,3.22,85.83
647,33,4604,3.26,89.47
648,34,5044,3.5,93.16
649,33,3903,3.14,89.67
650,34,4079,3.62,91.84
651,35,5249,3.65,94.98
652,40,5277,3.88,134.04
653,40,5587,4.49,149.2
654,47,5942,4.79,160.32
655,22,3584,2.8,48.23
